	0	1	2	3	4	BT
323	2018/12/07	00:53:50	83	3529	0	35.57061
324	2018/12/07	00:54:00	83	3531	0	35.59077
325	2018/12/07	00:54:10	84	3532	0	35.60085
326	2018/12/07	00:54:20	84	3531	0	35.59077
327	2018/12/07	00:54:30	82	3533	0	35.61093
328	2018/12/07	00:54:40	82	3536	0	35.64117
329	2018/12/07	00:54:50	83	3533	0	35.61093
330	2018/12/07	00:55:00	81	3536	0	35.64117
331	2018/12/07	00:55:10	81	3538	0	35.66133
332	2018/12/07	00:55:20	83	3540	0	35.681490000000004
333	2018/12/07	00:55:30	84	3536	0	35.64117
334	2018/12/07	00:55:40	82	3539	0	35.67141
335	2018/12/07	00:55:50	83	3538	0	35.66133
336	2018/12/07	00:56:00	82	3541	0	35.69157
337	2018/12/07	00:56:10	83	3540	0	35.681490000000004
338	2018/12/07	00:56:20	82	3542	0	35.70165
339	2018/12/07	00:56:30	82	3540	0	35.681490000000004
340	2018/12/07	00:56:40	82	3540	0	35.681490000000004
341	2018/12/07	00:56:50	82	3539	0	35.67141
342	2018/12/07	00:57:00	81	3545	0	35.73189
343	2018/12/07	00:57:10	82	3545	0	35.73189
344	2018/12/07	00:57:20	84	3545	0	35.73189
345	2018/12/07	00:57:30	83	3543	0	35.71173
346	2018/12/07	00:57:40	83	3547	0	35.752050000000004
347	2018/12/07	00:57:50	81	3546	0	35.74197
348	2018/12/07	00:58:00	82	3549	0	35.77221
349	2018/12/07	00:58:10	82	3549	0	35.77221
350	2018/12/07	00:58:20	83	3546	0	35.74197
351	2018/12/07	00:58:30	82	3547	0	35.752050000000004
352	2018/12/07	00:58:40	82	3547	0	35.752050000000004
353	2018/12/07	00:58:50	83	3547	0	35.752050000000004
354	2018/12/07	00:59:00	81	3546	0	35.74197
355	2018/12/07	00:59:10	81	3547	0	35.752050000000004
356	2018/12/07	00:59:20	82	3548	0	35.76213
357	2018/12/07	00:59:30	82	3547	0	35.752050000000004
358	2018/12/07	00:59:40	82	3547	0	35.752050000000004
359	2018/12/07	00:59:50	81	3548	0	35.76213
360	2018/12/07	01:00:00	82	3548	0	35.76213
361	2018/12/07	01:00:10	83	3546	0	35.74197
362	2018/12/07	01:00:20	83	3551	0	35.79237
363	2018/12/07	01:00:30	83	3549	0	35.77221
364	2018/12/07	01:00:40	81	3553	0	35.81253
365	2018/12/07	01:00:50	81	3551	0	35.79237
366	2018/12/07	01:01:00	82	3551	0	35.79237
367	2018/12/07	01:01:10	82	3552	0	35.80245
368	2018/12/07	01:01:20	82	3551	0	35.79237
369	2018/12/07	01:01:30	81	3554	0	35.822610000000005
370	2018/12/07	01:01:40	80	3552	0	35.80245
371	2018/12/07	01:01:50	80	3553	0	35.81253
372	2018/12/07	01:02:00	82	3558	0	35.86293
373	2018/12/07	01:02:10	81	3552	0	35.80245
374	2018/12/07	01:02:20	81	3557	0	35.852850000000004
375	2018/12/07	01:02:30	80	3554	0	35.822610000000005
376	2018/12/07	01:02:40	81	3557	0	35.852850000000004
377	2018/12/07	01:02:50	80	3555	0	35.83269
378	2018/12/07	01:03:00	80	3555	0	35.83269
379	2018/12/07	01:03:10	82	3556	0	35.84277
380	2018/12/07	01:03:20	82	3558	0	35.86293
381	2018/12/07	01:03:30	81	3555	0	35.83269
382	2018/12/07	01:03:40	80	3559	0	35.87301
383	2018/12/07	01:03:50	81	3559	0	35.87301
384	2018/12/07	01:04:00	81	3558	0	35.86293
385	2018/12/07	01:04:10	81	3557	0	35.852850000000004
386	2018/12/07	01:04:20	81	3559	0	35.87301
387	2018/12/07	01:04:30	81	3561	0	35.89317
388	2018/12/07	01:04:40	81	3559	0	35.87301
389	2018/12/07	01:04:50	80	3559	0	35.87301
390	2018/12/07	01:05:00	80	3559	0	35.87301
391	2018/12/07	01:05:10	80	3560	0	35.88309
392	2018/12/07	01:05:20	80	3561	0	35.89317
393	2018/12/07	01:05:30	81	3562	0	35.90325
394	2018/12/07	01:05:40	81	3564	0	35.923410000000004
395	2018/12/07	01:05:50	81	3564	0	35.923410000000004
396	2018/12/07	01:06:00	80	3566	0	35.94357
397	2018/12/07	01:06:10	79	3566	0	35.94357
398	2018/12/07	01:06:20	78	3564	0	35.923410000000004
399	2018/12/07	01:06:30	78	3568	0	35.96373
400	2018/12/07	01:06:40	79	3565	0	35.93349
401	2018/12/07	01:06:50	80	3565	0	35.93349
402	2018/12/07	01:07:00	81	3565	0	35.93349
403	2018/12/07	01:07:10	83	3566	0	35.94357
404	2018/12/07	01:07:20	82	3567	0	35.95365
405	2018/12/07	01:07:30	81	3566	0	35.94357
406	2018/12/07	01:07:40	81	3568	0	35.96373
407	2018/12/07	01:07:50	82	3567	0	35.95365
408	2018/12/07	01:08:00	81	3568	0	35.96373
409	2018/12/07	01:08:10	79	3569	0	35.97381
410	2018/12/07	01:08:20	79	3566	0	35.94357
411	2018/12/07	01:08:30	80	3569	0	35.97381
412	2018/12/07	01:08:40	80	3570	0	35.98389
413	2018/12/07	01:08:50	79	3569	0	35.97381
414	2018/12/07	01:09:00	80	3572	0	36.00405
415	2018/12/07	01:09:10	85	3571	0	35.993970000000004
416	2018/12/07	01:09:20	87	3572	0	36.00405
417	2018/12/07	01:09:30	81	3570	0	35.98389
418	2018/12/07	01:09:40	82	3570	0	35.98389
419	2018/12/07	01:09:50	81	3574	0	36.024210000000004
420	2018/12/07	01:10:00	81	3573	0	36.01413
421	2018/12/07	01:10:10	81	3578	0	36.064530000000005
422	2018/12/07	01:10:20	81	3578	0	36.064530000000005
423	2018/12/07	01:10:30	81	3576	0	36.04437
424	2018/12/07	01:10:40	80	3576	0	36.04437
425	2018/12/07	01:10:50	78	3199	0	32.24421
426	2018/12/07	01:11:00	78	3579	0	36.07461
427	2018/12/07	01:11:10	79	3577	0	36.05445
428	2018/12/07	01:11:20	79	3581	0	36.094770000000004
429	2018/12/07	01:11:30	79	3578	0	36.064530000000005
430	2018/12/07	01:11:40	80	3576	0	36.04437
431	2018/12/07	01:11:50	79	3576	0	36.04437
432	2018/12/07	01:12:00	80	3582	0	36.10485
433	2018/12/07	01:12:10	79	3579	0	36.07461
434	2018/12/07	01:12:20	81	3577	0	36.05445
435	2018/12/07	01:12:30	79	3578	0	36.064530000000005
436	2018/12/07	01:12:40	78	3581	0	36.094770000000004
437	2018/12/07	01:12:50	80	3577	0	36.05445
438	2018/12/07	01:13:00	80	3582	0	36.10485
439	2018/12/07	01:13:10	81	3582	0	36.10485
440	2018/12/07	01:13:20	80	3581	0	36.094770000000004
441	2018/12/07	01:13:30	79	3579	0	36.07461
442	2018/12/07	01:13:40	80	3580	0	36.08469
443	2018/12/07	01:13:50	82	3580	0	36.08469
444	2018/12/07	01:14:00	80	3583	0	36.11493
